job_category,skill,frequency
Data and Technology,business intelligence,7
Data and Technology,data driven,4
Data and Technology,stakeholders,4
Data and Technology,business analysis,3
Data and Technology,data warehouse,3
Marketing and Content,procurement,2
Marketing and Content,accelerate career,1
Marketing and Content,graduates aspiring,1
Marketing and Content,aspiring future,1
Marketing and Content,talented graduates,1
General Business,satisfaction operational,2
General Business,amar bank,2
General Business,bank amar,2
General Business,banks indonesia,2
General Business,solutions banking,2
Sales and Business Development,accounting,3
Sales and Business Development,rekonsiliasi bank,2
Sales and Business Development,invoice,2
Sales and Business Development,marketing operations,2
Sales and Business Development,expense accounting,1
Finance and Operations,interview review,2
Finance and Operations,requirements employ,2
Finance and Operations,interview manager,2
Finance and Operations,process review,2
Finance and Operations,research executive,1
People and HR,recruiter lintasarta,1
People and HR,opportunities talents,1
People and HR,alchemist recruiter,1
People and HR,potential talent,1
People and HR,interview mastery,1
Operations and Supply Chain,bukalapak,2
Operations and Supply Chain,business operations,1
Operations and Supply Chain,bukalapak making,1
Operations and Supply Chain,operations business,1
Operations and Supply Chain,bukalapak leading,1
